 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.0531516,0.151666,0.346243,2.17152,59.1496,5.68738,0.786538,0.813462,-0.275179,0.961393,8.77715,0.0438284,-12.3089,-12.7492,-12.54,-12.5254,8.02097,9.5592,8.82824
0.0393389,0.3692,0.339349,2.18868,59.1935,5.68872,0.774245,0.825755,-0.292581,0.956241,8.76558,0.0430217,-12.3379,-12.806,-12.576,-12.5644,8.02521,9.5552,8.8032
0.0259343,0.643742,0.330466,2.20544,59.2365,5.69196,0.761332,0.838669,-0.310634,0.95053,8.75344,0.0421914,-12.3663,-12.8634,-12.6109,-12.6028,8.02977,9.55062,8.77809
0.0129952,0.99359,0.318994,2.2217,59.2787,5.69761,0.748233,0.851766,-0.329347,0.944209,8.74071,0.0413411,-12.3941,-12.921,-12.6448,-12.6405,8.03422,9.54496,8.75298
0.0005783,0.99359,0.318994,2.2217,59.32,5.69761,0.732565,0.867435,-0.348721,0.937226,8.72739,0.0404747,-12.422,-12.98,-12.6777,-12.6775,8.04081,9.54038,8.72794
-0.0112611,1.44338,0.304146,2.23729,59.3605,5.70632,0.717403,0.882597,-0.368757,0.929526,8.71347,0.0395976,-12.4492,-13.0392,-12.7096,-12.7137,8.04662,9.53387,8.703
-0.0224688,2.02517,0.284927,2.25201,59.4001,5.71896,0.701362,0.898638,-0.389449,0.921048,8.69893,0.0387152,-12.4761,-13.0992,-12.7405,-12.7492,8.05294,9.52662,8.67824
-0.0329921,2.7899,0.259812,2.26568,59.4388,5.73664,0.684285,0.917764,-0.410786,0.911732,8.68377,0.037834,-12.5029,-13.161,-12.7704,-12.784,8.05988,9.52052,8.65369
-0.0427802,3.7766,0.227729,2.2779,59.4766,5.7609,0.668731,0.939229,-0.43275,0.901514,8.66797,0.0369618,-12.5285,-13.2244,-12.7994,-12.8179,8.0651,9.5147,8.6294
-0.0517842,3.7766,0.227729,2.2779,59.5136,5.7609,0.654497,0.964033,-0.455315,0.89033,8.65152,0.0361067,-12.5531,-13.2901,-12.8275,-12.8511,8.06881,9.50983,8.60542
-0.0599573,4.62689,0.18739,2.2883,59.5497,5.79359,0.640973,0.993877,-0.478448,0.878116,8.63442,0.0352781,-12.5768,-13.359,-12.8548,-12.8835,8.07157,9.50716,8.58177
-0.0672546,4.61761,0.137984,2.29648,59.585,5.83338,0.628573,1.02856,-0.502106,0.864806,8.61666,0.0344862,-12.5995,-13.4316,-12.8813,-12.9151,8.07306,9.50616,8.55849
-0.0736338,4.61761,0.137984,2.29648,59.6195,5.83338,0.617177,1.06887,-0.526236,0.850339,8.59821,0.0337417,-12.6211,-13.5084,-12.9071,-12.9459,8.0734,9.50711,8.5356
-0.0790548,4.60835,0.0794208,2.30195,59.6532,5.87282,0.607596,1.11083,-0.550776,0.834653,8.57908,0.0330576,-12.6412,-13.5876,-12.9323,-12.9758,8.07195,9.50624,8.5131
-0.0834797,4.59911,0.0169652,2.30441,59.6863,5.91193,0.5983,1.16241,-0.575643,0.817701,8.55925,0.0324415,-12.6605,-13.674,-12.9568,-13.0049,8.07002,9.50975,8.49099
-0.0868731,4.59911,0.0169652,2.30441,59.7187,5.91193,0.581951,1.21197,-0.600786,0.79941,8.53872,0.0319313,-12.6835,-13.7613,-12.9809,-13.0331,8.0735,9.50758,8.46927
-0.0892036,4.58989,-0.033601,2.3038,59.7506,5.9507,0.550989,1.24901,-0.625919,0.779888,8.51746,0.0315736,-12.7156,-13.8423,-13.0047,-13.0605,8.08775,9.49155,8.4479
-0.0904712,4.58069,-0.0191537,2.30237,59.7822,5.98914,0.513324,1.28668,-0.650532,0.759478,8.49549,0.031349,-12.7531,-13.924,-13.0281,-13.087,8.10564,9.4727,8.42678
-0.0907033,4.58069,-0.0191537,2.30237,59.8136,5.98914,0.469392,1.33061,-0.674402,0.738364,8.47281,0.0312354,-12.7961,-14.01,-13.0515,-13.1126,8.12623,9.45528,8.40584
-0.0899313,4.5715,0.021132,2.30228,59.8448,6.02726,0.31718,1.38282,-0.697477,0.716607,8.44942,0.0312312,-12.9162,-14.1019,-13.0747,-13.1374,8.22213,9.44036,8.38498
-0.08819,4.56233,0.087189,2.30491,59.876,6.06506,0.317149,1.38285,-0.71968,0.694306,8.42534,0.031328,-12.9332,-14.1566,-13.098,-13.1614,8.20514,9.38546,8.36411
-0.0855178,4.56233,0.087189,2.30491,59.9074,6.06506,0.285615,1.35504,-0.740954,0.671556,8.40056,0.0315177,-12.973,-14.1886,-13.1212,-13.1846,8.20876,9.31055,8.34313
